,station,week,zaterdag,zondag,lat,lng,station_link
623,WATERMAEL/WATERMAAL,191,106,78,50.8091273,4.399712999999998,Arcaden/Arcades
624,WATERMAEL/WATERMAAL,191,106,78,50.8091273,4.399712999999998,Delta
625,WATERMAEL/WATERMAAL,191,106,78,50.8091273,4.399712999999998,Watermaal/Watermael
626,WAVRE,968,380,316,50.7160869,4.6054955,Wavre
627,WEERDE,504,91,73,50.9774651,4.4709058,Weerde
628,WELKENRAEDT,1703,979,1068,50.6596638,5.9755201,Welkenraedt
629,WELLE,128,9,9,50.9032047,4.050724700000001,Welle
630,WERVIK,638,205,244,50.7816789,3.0464158,Lille Flandres
631,WERVIK,638,205,244,50.7816789,3.0464158,Lille Europe
632,WERVIK,638,205,244,50.7816789,3.0464158,Wervik
633,WESPELAAR-TILDONK,429,76,85,50.9579842,4.6388785000000015,Wespelaar-Tildonk
634,WETTEREN,2499,609,555,51.0017426,3.8823706,Wetteren
635,WEVELGEM,507,153,185,50.8106434,3.1818332000000003,Wevelgem
636,WEZEMAAL,645,170,139,50.95605120000001,4.7473905,Wezemaal
637,WICHELEN,123,9,9,51.00198020000001,3.969729,Wichelen
638,WIJGMAAL,445,76,81,50.92337,4.7005300000000005,Wijgmaal
639,WILDERT,189,91,85,51.42787630000001,4.463338900000001,Wildert
640,WILLEBROEK,514,136,138,51.066297,4.355968,Willebroek
641,WOLFSTEE,31,9,9,51.16847689999999,4.7845878,Wolfstee
642,WONDELGEM,123,26,15,51.0891533,3.7194717000000006,Wondelgem
643,YVES-GOMEZEE,32,9,10,50.2368316,4.4947288,Yves-Gomezée
644,YVOIR,522,245,244,50.3207792,4.8785865,Yvoir
645,ZANDBERGEN,163,48,22,50.80701269999999,3.9577915,Zandbergen
646,ZAVENTEM,1231,342,289,50.88531079999999,4.4709622000000016,Zaventem
647,ZEDELGEM,531,97,140,51.1265845,3.1638083,Zedelgem
648,ZEEBRUGGE-DORP,267,9,9,51.326515,3.195115,Zeebrugge-Dorp
649,ZEEBRUGGE-STRAND,9,22,29,51.3305047,3.1840388,Zeebrugge-Strand
650,ZELE,780,154,148,51.07292169999999,4.042324499999999,Zele
651,ZELLIK,466,79,69,50.88974830000001,4.2751288,Zellik
652,ZICHEM,283,38,61,51.0063061,4.9882101,Zichem
653,ZINGEM,347,80,63,50.90780170000001,3.6464116,Zingem
654,ZOLDER,108,22,61,51.03354849999999,5.329899699999999,Zolder
655,ZONHOVEN,55,18,24,50.9898411,5.348832499999999,Zonhoven
656,ZOTTEGEM,5817,816,650,50.8687698,3.8141769,Zottegem
657,ZWIJNDRECHT,226,24,32,51.8157054,4.6408385,Rotterdam CS
658,ZWIJNDRECHT,226,24,32,51.8157054,4.6408385,Amsterdam CS
659,ZWIJNDRECHT,226,24,32,51.8157054,4.6408385,Den Haag HS
660,ZWIJNDRECHT,226,24,32,51.8157054,4.6408385,Dordrecht
661,ZWIJNDRECHT,226,24,32,51.8157054,4.6408385,Schiphol
